country,year,crop_output,fertilizer,land,labor
Belize,1991,119953000,64.2,130000,15437.57896
Belize,1992,138020000,66.67,136000,15652.97545
Belize,1993,136458000,68.08,143000,15797.76695
Belize,1994,140647000,48.940002,143000,15593.70401
Belize,1995,147079000,52.09,146000,18930.33724
Belize,1996,160377000,34.02,147000,20904.56543
Belize,1997,164043000,48.98,148000,22967.58978
Belize,1998,156721000,57.53,148000,20271.70477
Belize,1999,171350000,60.95,150000,23434.65641
Belize,2000,196204000,62.02,149000,23282.59161
Belize,2001,203202000,47.47,149000,23103.20837
Belize,2002,196283000,252.35999,152000,22820.21835
Belize,2003,203074000,262.41,152000,22427.02
Belize,2004,220270000,53.98,152000,22083.11453
Belize,2005,215564000,55.59,152000,21675.60901
Belize,2006,217929000,61.25,152000,22296.49049
Belize,2007,213710000,41.77,152000,22957.27217
Belize,2008,203764000,34.14,152000,23534.87277
Belize,2009,209298000,84.43,155000,24222.30837
Belize,2010,223242000,40.67,157000,24857.0057
Belize,2011,203206000,164.51,157000,25574.69445
Belize,2012,234550000,99.33,160000,26214.35438
Belize,2013,235595000,275.91998,160000,26863.72906
Belize,2014,244606000,265.36002,160000,27650.94
Belize,2015,244355000,280.49,170000,28360.83027
Belize,2016,236621000,303.06,170000,30447.49353
Belize,2017,258147000,245.98,172000,29327.44113
Belize,2018,251244000,309.76,172000,29552.1538
Belize,2019,247174000,333.71,174000,30070.48664
Costa Rica,1991,2581936000,226.03,2203618,215532.1054
Costa Rica,1992,2755119000,240.78,2160000,216866.4825
Costa Rica,1993,2676767000,215,2113000,225164.3987
Costa Rica,1994,2765886000,248.07999,2095000,229659.9317
Costa Rica,1995,2823893000,239.22,2048000,244297.8319
Costa Rica,1996,2895727000,301.42,1995000,242785.025
Costa Rica,1997,2863433000,389.8,1953000,254673.9953
Costa Rica,1998,3106534000,406.12,1915000,266566.7503
Costa Rica,1999,3330612000,368,1888000,265751.0724
Costa Rica,2000,3291934000,340.82,1840000,263776.6625
Costa Rica,2001,3272688000,239.13,1833000,270922.9339
Costa Rica,2002,3147776000,256.82,1826000,281280.0468
Costa Rica,2003,3296438000,386.27,1829000,276283.2625
Costa Rica,2004,3298260000,315.45,1822000,272173.802
Costa Rica,2005,3645893000,292.94,1805000,296158.965
Costa Rica,2006,4096523000,351.58,1815000,277669.6408
Costa Rica,2007,3917176000,343.22,1800000,272009.7964
Costa Rica,2008,3921102000,366.29,1793000,258087.7958
Costa Rica,2009,3816870000,158.97,1816000,249403.8016
Costa Rica,2010,4430641000,216.37999,1819000,239672.3209
Costa Rica,2011,4673030000,299.48,1819000,231669.4828
Costa Rica,2012,4933306000,269.46,1812000,235861.0242
Costa Rica,2013,4910909000,248.36,1801000,229376.7542
Costa Rica,2014,5185894000,238.54,1785000,261498.6613
Costa Rica,2015,4918564000,287.19,1769245,287809.5332
Costa Rica,2016,5245824000,268.81,1777000,277552.7148
Costa Rica,2017,5560961000,293.38,1781000,293981.3891
Costa Rica,2018,5601462000,302.33,1782500,303271.8747
Costa Rica,2019,4965229000,291.97,1776673,307417.0182
El Salvador,1991,1689794000,93.600006,1283700,561833.7419
El Salvador,1992,1895846000,88.1,1301500,564213.2493
El Salvador,1993,1741262000,87.81,1296400,577148.0239
El Salvador,1994,1691483000,77.27,1294300,587412.9974
El Salvador,1995,1728137000,81.74,1290200,577449.3002
El Salvador,1996,1765519000,112.5,1246100,566104.8536
El Salvador,1997,1726815000,115.68,1241000,563589.1889
El Salvador,1998,1680399000,97.409996,1269800,569083.5066
El Salvador,1999,1907618000,89.11,1295700,506165.1089
